key,city,country,population,latitude,longitude,clusters
4148533,Bonita Springs,US,51704,26.339809999999996,-81.7787,4
4148677,Boynton Beach,US,73966,26.52535,-80.06643000000001,4
4148708,Bradenton,US,54437,27.498929999999998,-82.57481999999999,4
4676740,Brownsville,US,183887,25.90175,-97.49748000000001,4
4151871,Coral Gables,US,51117,25.72149,-80.26838000000001,4
4152872,Daytona Beach,US,64736,29.21081,-81.02283,4
4153132,Delray Beach,US,66255,26.46146,-80.07282,4
4153471,Doral,US,56035,25.81954,-80.35533000000001,4
4155966,Fort Lauderdale,US,178590,26.12231,-80.14338000000001,4
4155995,Fort Myers,US,74013,26.621679999999998,-81.84059,4
4156018,Fort Pierce,US,44484,27.446709999999996,-80.32561,4
4156404,Gainesville,US,130128,29.651629999999997,-82.32483,4
4157898,Hallandale Beach,US,39488,25.9812,-80.14838,4
5357527,Hollywood,US,167664,34.09834,-118.32673999999999,3
5357527,Hollywood,US,167664,34.09834,-118.32673999999999,3
4160610,Jupiter,US,62707,26.93422,-80.09421,4
4160812,Key West,US,25755,24.555239999999998,-81.78163,4
4160983,Kissimmee,US,69152,28.304679999999998,-81.41667,4
4161438,Lakeland,US,104401,28.03947,-81.9498,4
4769125,Leesburg,US,51209,39.11566,-77.5636,4
4164138,Miami,US,441003,25.77427,-80.19366,4
4164138,Miami,US,441003,25.77427,-80.19366,4
4164138,Miami,US,441003,25.77427,-80.19366,4
4164138,Miami,US,441003,25.77427,-80.19366,4
4164143,Miami Beach,US,92312,25.79065,-80.13005,4
4166232,North Miami,US,62435,25.89009,-80.18670999999999,4
4166233,North Miami Beach,US,43971,25.93315,-80.16255,4
4167147,Orlando,US,270934,28.53834,-81.37924,4
4167519,Palm Beach Gardens,US,52923,26.823390000000003,-80.13865,4
5380668,Palm Springs,US,47371,33.8303,-116.54529,3
5380668,Palm Springs,US,47371,33.8303,-116.54529,3
4168228,Pensacola,US,53193,30.42131,-87.21691,4
4168659,Pinewood,US,16520,25.86898,-80.21699,4
4168773,Plant City,US,37406,28.01888,-82.11469,4
5102922,Princeton,US,29603,40.34872,-74.65905,4
4171563,St. Petersburg,US,257083,27.77086,-82.67926999999999,4
4172131,Sarasota,US,55118,27.33643,-82.53065,4
4172434,Seminole,US,18153,27.83975,-82.79120999999999,4
4174715,Tallahassee,US,189907,30.438259999999996,-84.28073,4
4174738,Tamarac,US,64681,26.21286,-80.24977,4
4174757,Tampa,US,369075,27.94752,-82.45843,4
4176409,Vero Beach,US,16358,27.638640000000002,-80.39726999999999,4
4177887,West Palm Beach,US,106779,26.71534,-80.05337,4
4177965,Westchester,US,29862,25.754820000000002,-80.32727,4
4178560,Winter Park,US,29943,28.6,-81.33924,4
4179574,Alpharetta,US,63693,34.075379999999996,-84.29409,4
4180439,Atlanta,US,463878,33.749,-84.38798,4
4987990,Canton,US,86825,42.30865,-83.48216,4
4679195,Carrollton,US,133168,32.95373,-96.89028,4
4509177,Columbus,US,850106,39.96118,-82.99879,4
5024719,Duluth,US,86110,46.78327,-92.10658000000001,4
4205196,Lawrenceville,US,30493,33.95621,-83.98796,4
4221552,Savannah,US,145674,32.08354,-81.09983000000001,4
4228147,Valdosta,US,55724,30.833340000000003,-83.28031999999999,4
4244099,Mattoon,US,18113,39.483090000000004,-88.37283000000001,4
4409896,Springfield,US,166810,37.21533,-93.29824,4
5018739,Bloomington,US,86435,44.8408,-93.29828,4
4257227,Evansville,US,119943,37.974759999999996,-87.55585,4
4259418,Indianapolis,US,829718,39.76838,-86.15804,4
5102720,Plainfield,US,51217,40.63371,-74.40737,4
4393217,Kansas City,US,475378,39.09973,-94.57857,4
5125771,Manhattan,US,1487536,40.783429999999996,-73.96625,4
5341531,Danville,US,44400,37.82159,-121.99996000000002,3
5505411,Henderson,US,285667,36.0397,-114.98194,3
4299276,Louisville,US,243639,38.25424,-85.75941,4
4315588,Baton Rouge,US,228590,30.44332,-91.18746999999999,4
4317639,Bossier City,US,68094,32.51599,-93.73212,4
4921100,Hammond,US,77614,41.58337,-87.50004,4
4330145,Lafayette,US,127657,30.224090000000004,-92.01984,4
4333669,Monroe,US,49598,32.50931,-92.1193,4
4333669,Monroe,US,49598,32.50931,-92.1193,4
4333669,Monroe,US,49598,32.50931,-92.1193,4
4333669,Monroe,US,49598,32.50931,-92.1193,4
4335045,New Orleans,US,389617,29.95465,-90.07507,4
4341513,Shreveport,US,197204,32.52515,-93.75018,4
4347242,Annapolis,US,39474,38.97845,-76.49218,4
4347778,Baltimore,US,621849,39.29038,-76.61219,4
4348599,Bethesda,US,60858,38.98067,-77.10025999999999,4
5188140,Easton,US,26915,40.68843,-75.22073,4
4355843,Gaithersburg,US,67456,39.143440000000005,-77.20137,4
4356050,Germantown,US,86395,39.173159999999996,-77.27165,4
4363843,North Bethesda,US,43828,39.04455,-77.11887,4
4367175,Rockville,US,66980,39.084,-77.15276,4
4406831,Saint Charles,US,65794,38.78394,-90.48123000000001,4
4369596,Silver Spring,US,71452,38.99067,-77.02609,4
4372599,Waldorf,US,67752,38.624559999999995,-76.93914000000001,4
5339111,Concord,US,128667,37.97798,-122.03107,3
5467328,Farmington,US,42871,36.72806,-108.21869,11
4392768,Joplin,US,51818,37.08423,-94.51328000000001,4
4407066,St. Louis,US,315685,38.62727,-90.19789,4
4412697,University City,US,35058,38.655879999999996,-90.30928,4
4418478,Biloxi,US,45637,30.39603,-88.88531,4
4447161,Starkville,US,25366,33.45049,-88.81961,4
4448903,Tupelo,US,35680,34.258070000000004,-88.70464,4
4460243,Charlotte,US,827097,35.227090000000004,-80.84313,4
4487042,Raleigh,US,451066,35.7721,-78.63861,4
4500942,Bridgeton,US,25031,39.42734,-75.23408,4
4504476,Toms River,US,88791,39.95373,-74.19792,4
4504621,Vineland,US,60818,39.48623,-75.02573000000001,4
4508722,Cincinnati,US,296943,39.127109999999995,-84.51439,4
4509884,Dayton,US,140599,39.75895,-84.19161,4
5387877,Riverside,US,322424,33.95335,-117.39616000000001,3
4529292,Altus,US,19214,34.63813,-99.33398000000001,4
4529469,Ardmore,US,25176,34.17426,-97.14363,4
4552215,Stillwater,US,48967,36.11561,-97.05837,4
4553433,Tulsa,US,403505,36.15398,-95.99277,4
4560349,Philadelphia,US,1567442,39.952329999999996,-75.16379,4
4595864,Simpsonville,US,20736,34.73706,-82.25428000000001,4
4597919,Summerville,US,48848,33.0185,-80.17565,4
5150529,Cleveland,US,388072,41.4995,-81.69541,4
4641239,Memphis,US,655770,35.14953,-90.04898,4
4642938,Morristown,US,29478,36.21398,-83.29489000000001,4
4644585,Nashville,US,530852,36.165890000000005,-86.78444,4
4656585,Sevierville,US,16490,35.86815,-83.56184,4
4669635,Abilene,US,121721,32.44874,-99.73314,4
4671240,Arlington,US,388125,32.735690000000005,-97.10807,4
4671654,Austin,US,931830,30.26715,-97.74306,4
4683416,Corpus Christi,US,324074,27.80058,-97.39638000000001,4
4684888,Dallas,US,1300092,32.78306,-96.80667,4
4691930,Fort Worth,US,833319,32.72541,-97.32085,4
4692559,Frisco,US,154407,33.15067,-96.82361,4
4692883,Galveston,US,50180,29.30135,-94.7977,4
4699066,Houston,US,2296224,29.763279999999998,-95.36327,4
4706057,Lewisville,US,104039,33.04623,-96.99417,4
5007989,Saginaw,US,49347,43.419470000000004,-83.95081,4
4734350,Stephenville,US,20120,32.2207,-98.20226,4
4739526,Waco,US,132356,31.549329999999998,-97.14667,4
4740629,Weslaco,US,39474,26.15952,-97.99084,4
4741752,Wichita Falls,US,104710,33.913709999999995,-98.49339,4
4758023,Fairfax,US,24013,38.84622,-77.30637,4
4766586,Jefferson,US,28487,38.86456,-77.18776,4
4766586,Jefferson,US,28487,38.86456,-77.18776,4
4771401,Manassas,US,41764,38.75095,-77.47527,4
4776222,Norfolk,US,246393,36.84681,-76.28522,4
4788158,Suffolk,US,88161,36.728359999999995,-76.58496,4
4809537,Huntington,US,48638,38.41925,-82.44515,4
4832353,Danbury,US,84657,41.39482,-73.45401,4
4835797,Hartford,US,124006,41.763709999999996,-72.68509,4
4838524,Meriden,US,59988,41.53815,-72.80704,4
4838652,Milford,US,52759,41.22232,-73.0565,4
5377995,Norwalk,US,107140,33.90224,-118.08173000000001,3
